Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,0.011704444885253906,2.3,1.4,42.0,42.0
Query 2,0.009395122528076172,0.6,1.3,42.0,42.0
Query 3,0.006705522537231445,1.6,1.0,42.0,41.9
Query 4,0.011513233184814453,1.4,10.3,41.9,42.1
Query 5,0.008942604064941406,2.5,2.3,42.0,41.9
Query 6,0.007819890975952148,1.0,2.6,41.9,42.0
Query 7,0.027532100677490234,4.0,0.8,41.9,41.9
Query 8,0.0069811344146728516,0.7,1.2,41.9,41.9
Query 9,0.008894920349121094,0.4,3.3,41.9,42.0
Query 10,0.007062673568725586,8.3,4.0,42.0,41.9
Query 11,0.007870912551879883,2.1,0.1,41.9,41.9
