Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,0.6475250720977783,1.0,0.0,28.9,29.2
Query 2,1.4056246280670166,0.8,3.4,29.3,29.4
Query 3,3.7550249099731445,2.4,0.6,29.5,30.1
Query 4,0.4813499450683594,0.8,0.9,30.4,30.3
Query 5,0.48410582542419434,1.1,2.1,30.3,30.1
Query 6,1.5869441032409668,2.0,2.1,29.8,29.7
Query 7,1.9128594398498535,1.5,0.4,29.7,29.6
Query 8,1.9462592601776123,2.1,0.3,29.6,29.6
Query 9,0.4774320125579834,1.3,0.9,29.6,29.7
Query 10,3.70168399810791,2.0,0.0,29.7,29.6
Query 11,1.3591039180755615,2.5,12.0,29.7,29.6
