Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,0.011257410049438477,0.4,2.1,24.6,24.6
Query 2,0.01205134391784668,0.8,0.8,24.6,24.6
Query 3,0.01147007942199707,0.4,0.8,24.6,24.6
Query 4,0.00470280647277832,0.4,0.9,24.6,24.5
Query 5,0.004883766174316406,0.8,0.5,24.6,24.6
Query 6,0.010986804962158203,1.2,0.4,24.6,24.5
Query 7,0.004252910614013672,0.4,0.4,24.6,24.6
Query 8,0.005113124847412109,0.5,0.9,24.6,24.6
Query 9,0.004453897476196289,0.3,0.7,24.6,24.5
Query 10,0.004129886627197266,0.4,0.4,24.6,24.6
Query 11,0.010314702987670898,0.1,0.4,24.6,24.5
