Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,0.018375396728515625,24.0,21.3,48.1,48.1
Query 2,0.5159287452697754,20.8,25.8,48.1,48.1
Query 3,0.012014389038085938,26.5,24.2,48.1,48.1
Query 4,1.0985722541809082,23.9,13.1,48.1,48.1
Query 5,1.0251426696777344,11.2,21.3,48.1,48.1
Query 6,0.4771084785461426,26.1,16.9,48.1,48.1
Query 7,0.0382997989654541,21.4,21.7,48.1,48.1
Query 8,0.04071664810180664,20.3,20.6,48.1,48.1
Query 9,1.0680439472198486,18.3,23.4,48.1,48.1
Query 10,0.07542896270751953,19.6,19.2,48.1,48.2
Query 11,0.4932243824005127,20.4,20.0,48.2,48.1
