Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,0.006555795669555664,0.0,0.5,35.5,35.5
Query 2,0.006771087646484375,1.2,0.4,35.6,35.6
Query 3,0.00634312629699707,0.1,0.0,35.6,35.5
Query 4,0.004463911056518555,0.0,1.2,35.5,35.5
Query 5,0.003956794738769531,0.0,0.0,35.5,35.5
Query 6,0.01347661018371582,0.0,0.1,35.5,35.5
Query 7,0.0041599273681640625,0.9,0.1,35.5,35.5
Query 8,0.003859281539916992,0.0,0.4,35.5,35.5
Query 9,0.004031181335449219,0.1,0.7,35.5,35.5
Query 10,0.004109382629394531,0.0,0.1,35.5,35.5
Query 11,0.006594657897949219,0.4,0.0,35.5,35.5
