Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,0.022812366485595703,12.7,1.9,49.5,49.6
Query 2,0.32068896293640137,3.7,3.8,49.6,49.0
Query 3,0.3680126667022705,1.3,3.0,49.0,49.4
Query 4,0.10315442085266113,3.3,1.3,49.7,50.0
Query 5,0.11509084701538086,4.9,5.4,50.0,49.9
Query 6,0.4559972286224365,3.7,4.7,49.9,49.9
Query 7,0.019054412841796875,4.4,2.8,49.9,49.9
Query 8,0.018500804901123047,1.9,1.0,49.9,49.9
Query 9,0.11805438995361328,0.6,4.7,50.0,50.0
Query 10,0.018883228302001953,9.5,3.4,50.0,50.0
Query 11,0.23036408424377441,1.3,2.0,49.9,49.9
