Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,3.9503467082977295,1.3,0.9,49.9,49.9
Query 2,467.6140522956848,0.9,2.1,49.9,49.4
Query 3,35.43948268890381,3.4,9.6,49.4,50.3
Query 4,46.722487449645996,3.5,3.9,50.6,50.5
Query 5,20.524863719940186,7.8,3.4,50.4,50.3
Query 6,22.75269365310669,3.4,2.6,50.3,51.0
Query 7,88.03220272064209,0.7,3.3,51.0,50.5
Query 8,80.04413747787476,2.1,2.7,50.5,50.5
Query 9,20.366648197174072,3.1,6.0,50.6,50.6
Query 10,174.27120804786682,15.8,2.5,50.5,50.3
Query 11,1000.7994096279144,3.6,3.6,50.3,50.7
