Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,1.7747125625610352,0.8,2.6,57.0,57.2
Query 2,232.62007069587708,5.0,0.7,57.2,57.6
Query 3,7.375668525695801,0.0,9.1,57.6,59.1
Query 4,543.0996336936951,6.0,0.4,59.5,61.7
Query 5,524.189994096756,1.0,0.5,61.8,63.6
Query 6,247.89456701278687,0.1,0.0,63.6,64.1
Query 7,18.61804699897766,0.5,0.1,64.1,64.1
Query 8,17.93726658821106,0.0,8.5,64.1,65.4
Query 9,524.1506929397583,8.8,2.6,64.9,65.0
Query 10,38.46514940261841,5.3,4.1,64.9,65.1
Query 11,246.42899894714355,2.8,0.0,65.0,64.9
