Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,187.8056309223175,3.1,3.9,51.5,51.2
Query 2,82.60198760032654,12.8,7.6,51.3,51.2
Query 3,81.9955325126648,6.2,4.2,51.3,51.3
Query 4,233.4191484451294,4.4,3.9,51.3,50.6
Query 5,20.089240550994873,10.4,3.5,50.5,50.5
Query 6,21.430814027786255,3.1,23.9,50.4,50.5
Query 7,3.7031497955322266,10.1,16.7,50.5,50.5
Query 8,35.061609745025635,2.2,2.3,50.5,50.4
Query 9,84.08413505554199,4.0,2.5,50.5,51.1
Query 10,0.0028676986694335938,2.2,3.0,51.1,51.1
Query 11,1444.5319848060608,3.8,4.2,51.1,51.1
Query 12,0.0029702186584472656,1.8,5.7,51.0,51.0
Query 13,35.49591398239136,1.6,7.2,51.1,51.6
