Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,0.005646228790283203,0.4,1.7,37.4,37.5
Query 2,0.02146625518798828,3.5,5.6,37.5,37.5
Query 3,0.010705947875976562,0.1,0.3,37.5,37.4
Query 4,0.014448404312133789,0.4,0.0,37.4,37.4
Query 5,0.014106035232543945,0.7,0.4,37.4,37.4
Query 6,0.015045881271362305,0.1,5.8,37.4,37.4
Query 7,0.006654500961303711,1.8,5.4,37.4,37.4
Query 8,0.006501436233520508,0.3,0.1,37.4,37.4
Query 9,0.013507366180419922,0.3,0.5,37.4,37.4
Query 10,0.007373809814453125,0.0,0.1,37.4,37.4
Query 11,0.017756938934326172,0.8,2.0,37.4,37.4
