Query Name,Execution Time (s),CPU Start (%),CPU End (%),Memory Start (%),Memory End (%)
Query 1,0.2241365909576416,0.1,0.3,44.8,44.9
Query 2,1.830312967300415,0.4,8.6,44.9,46.0
Query 3,3.1176955699920654,0.7,0.3,46.0,48.0
Query 4,0.07100367546081543,7.0,3.1,47.9,47.5
Query 5,0.04626893997192383,0.8,4.0,47.5,47.6
Query 6,13.902562379837036,3.4,0.1,47.5,46.7
Query 7,0.05144524574279785,0.3,0.3,46.7,46.7
Query 8,0.05292677879333496,1.2,4.2,46.7,46.7
Query 9,0.04581403732299805,4.3,1.2,46.7,46.7
Query 10,0.04340386390686035,0.3,0.1,46.7,46.7
Query 11,1.4789061546325684,0.3,0.4,46.7,47.3
